Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,Visibility (km),Cc_clear,Cc_cloudy,Cc_overcast,Cc_partly cloudy,Ss_Autumn,Ss_Spring,Ss_Summer,Ss_Winter,Lc_coastal,Lc_inland,Lc_mountain,UV Index,Weather Type
2.0,61,16.5,63.0,995.74,1.0,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
4.0,95,2.5,56.0,984.63,4.5,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
15.0,97,23.0,91.0,1009.36,2.5,0,0,1,0,0,0,0,1,0,0,1,13,Rainy
29.0,69,3.0,15.0,1012.09,5.5,1,0,0,0,0,0,0,1,0,1,0,10,Sunny
35.0,21,10.0,6.0,1026.81,7.5,1,0,0,0,1,0,0,0,1,0,0,5,Sunny
11.0,90,25.5,76.0,996.17,1.0,0,0,0,1,0,0,0,1,0,0,1,0,Rainy
2.0,105,19.0,109.0,991.68,3.5,0,0,1,0,0,0,0,1,0,0,1,7,Snowy
27.0,64,11.5,37.0,1017.27,8.0,0,0,0,1,1,0,0,0,1,0,0,3,Cloudy
32.0,37,0.5,9.0,1013.99,8.5,0,0,0,1,0,0,0,1,0,1,0,11,Sunny
36.0,22,1.0,0.0,1028.63,5.5,1,0,0,0,0,0,1,0,0,0,1,10,Sunny
28.0,54,15.0,39.0,1018.86,8.5,0,0,0,1,0,0,0,1,0,0,1,3,Cloudy
42.0,64,2.0,18.0,1028.55,8.0,0,0,0,1,1,0,0,0,0,0,1,8,Sunny
21.0,43,10.0,11.0,1019.41,6.0,1,0,0,0,0,1,0,0,0,0,1,11,Sunny
22.0,50,0.0,18.0,1016.5,8.0,1,0,0,0,0,0,1,0,1,0,0,5,Sunny
33.0,66,9.0,18.0,1014.34,6.0,0,0,0,1,1,0,0,0,0,0,1,3,Cloudy
26.0,25,2.5,14.0,1010.34,5.0,0,0,0,1,0,0,0,1,0,0,1,8,Sunny
26.0,91,9.5,82.0,1019.42,4.0,0,0,1,0,0,0,1,0,0,0,1,3,Rainy
-2.0,98,18.5,86.0,981.26,3.5,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
17.0,90,11.0,98.0,1017.49,4.0,0,0,1,0,0,0,0,1,0,1,0,3,Rainy
25.0,55,8.5,37.0,1014.49,7.5,0,0,0,1,0,0,1,0,0,1,0,4,Cloudy
-4.0,96,20.0,88.0,990.72,4.5,0,0,0,1,0,0,0,1,0,0,1,1,Snowy
-1.0,87,14.0,78.0,984.11,4.0,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
-5.0,94,5.5,55.0,991.65,3.0,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
22.0,95,13.0,90.0,997.97,2.5,0,0,1,0,1,0,0,0,1,0,0,3,Rainy
41.0,85,9.0,101.0,1017.89,7.5,0,0,1,0,0,0,1,0,0,0,1,3,Cloudy
33.0,41,0.0,4.0,1018.56,9.5,1,0,0,0,0,0,0,1,1,0,0,7,Sunny
16.0,84,18.5,54.0,996.12,3.0,0,0,1,0,0,1,0,0,1,0,0,0,Rainy
10.0,64,14.0,18.0,1011.96,8.5,0,0,1,0,0,1,0,0,1,0,0,1,Cloudy
29.0,63,6.0,68.0,992.45,3.0,0,0,1,0,0,0,0,1,0,0,1,0,Rainy
15.0,55,1.5,32.0,1009.01,5.5,0,0,0,1,1,0,0,0,0,1,0,2,Cloudy
24.0,52,9.0,29.0,1007.84,8.0,0,0,0,1,1,0,0,0,0,0,1,1,Cloudy
25.0,85,9.0,67.0,995.4,2.0,0,0,1,0,0,0,0,1,0,0,1,1,Rainy
25.0,89,1.5,87.0,1017.16,6.5,0,0,0,1,0,0,1,0,0,0,1,11,Sunny
24.0,47,8.0,17.0,1025.22,6.0,1,0,0,0,0,0,1,0,0,0,1,5,Sunny
2.0,97,2.0,89.0,993.14,3.0,0,0,0,1,0,0,0,1,0,1,0,0,Snowy
21.0,54,3.0,17.0,1026.15,8.0,1,0,0,0,0,0,1,0,0,0,1,7,Sunny
2.0,81,13.5,57.0,983.36,4.0,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
21.0,75,3.5,41.0,1017.74,8.0,0,0,0,1,0,0,0,1,0,0,1,2,Cloudy
31.0,62,6.5,84.0,1013.61,4.5,0,0,1,0,0,1,0,0,0,1,0,0,Rainy
33.0,31,6.5,18.0,1022.53,8.5,1,0,0,0,0,0,1,0,1,0,0,7,Sunny
34.0,47,5.0,4.0,1027.53,10.0,1,0,0,0,0,1,0,0,0,1,0,9,Sunny
21.0,66,13.5,29.0,1018.98,8.5,0,0,0,1,1,0,0,0,0,0,1,3,Cloudy
28.0,68,18.0,90.0,992.83,5.0,0,0,1,0,0,0,0,1,0,0,1,3,Rainy
33.0,62,10.0,83.0,1009.48,3.5,0,0,0,1,0,0,1,0,0,1,0,1,Rainy
25.0,96,6.0,90.0,1006.67,4.5,0,0,1,0,1,0,0,0,0,0,1,0,Rainy
27.0,73,9.5,47.0,1017.82,7.0,0,0,0,1,0,0,1,0,1,0,0,1,Cloudy
-5.0,73,12.0,63.0,983.83,4.5,0,0,0,1,0,0,0,1,0,1,0,1,Snowy
31.0,62,5.5,99.0,1019.92,4.5,0,0,1,0,0,0,1,0,0,0,1,0,Rainy
2.0,91,6.5,92.0,999.46,2.5,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
-7.0,78,10.0,96.0,999.99,1.0,0,0,1,0,0,0,0,1,0,1,0,7,Snowy
27.0,43,1.0,8.0,1022.48,9.0,1,0,0,0,0,0,1,0,0,0,1,9,Sunny
12.0,56,9.5,19.0,1014.4,6.5,0,0,0,1,0,0,0,1,0,0,1,4,Cloudy
-7.0,93,9.0,60.0,995.63,4.0,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
30.0,64,6.0,67.0,1009.12,4.0,0,0,0,1,0,0,1,0,1,0,0,3,Rainy
19.0,93,14.5,57.0,1018.44,4.0,0,0,1,0,0,0,0,1,0,1,0,0,Rainy
17.0,88,18.0,83.0,1026.94,5.5,0,0,0,1,0,1,0,0,0,0,1,0,Sunny
23.0,88,11.5,65.0,1000.74,5.0,0,0,1,0,0,0,0,1,0,0,1,1,Rainy
28.0,35,9.5,0.0,1023.62,10.0,0,0,0,1,0,0,0,1,1,0,0,9,Sunny
-4.0,87,5.0,54.0,981.02,4.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
31.0,72,17.0,96.0,1013.85,3.5,0,0,0,1,0,0,0,1,0,1,0,13,Cloudy
40.0,66,8.0,5.0,1019.82,5.5,1,0,0,0,1,0,0,0,0,0,1,5,Sunny
20.0,24,3.0,6.0,1013.68,6.5,1,0,0,0,0,0,0,1,0,0,1,9,Sunny
-7.0,61,2.5,99.0,994.34,2.5,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
-3.0,82,0.0,65.0,991.66,1.5,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
22.0,65,6.0,14.0,1010.17,7.0,0,0,0,1,1,0,0,0,1,0,0,8,Sunny
33.0,79,4.5,43.0,1007.94,7.0,0,0,1,0,0,1,0,0,1,0,0,1,Cloudy
29.0,47,8.5,2.0,1027.33,5.5,1,0,0,0,0,0,1,0,0,1,0,11,Sunny
13.0,80,15.5,59.0,1012.06,3.5,0,0,1,0,1,0,0,0,0,0,1,0,Rainy
27.0,39,5.0,16.0,1021.61,5.0,1,0,0,0,1,0,0,0,0,0,1,5,Sunny
20.0,48,9.5,6.0,1015.16,8.5,1,0,0,0,1,0,0,0,0,0,1,6,Sunny
19.0,82,7.0,85.0,1008.5,3.5,0,0,0,1,0,0,1,0,1,0,0,1,Rainy
18.0,70,5.0,94.0,1012.87,3.5,0,0,1,0,0,1,0,0,0,0,1,2,Rainy
2.0,80,13.5,79.0,995.74,1.5,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
1.0,81,9.5,63.0,983.99,3.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
22.0,69,1.0,19.0,1011.5,6.0,0,0,0,1,1,0,0,0,0,0,1,2,Cloudy
-10.0,70,2.5,56.0,989.29,4.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
32.0,61,5.5,53.0,995.09,4.0,0,0,1,0,0,0,1,0,0,1,0,2,Rainy
41.0,29,8.0,17.0,1011.53,10.0,1,0,0,0,0,1,0,0,0,1,0,11,Sunny
-1.0,99,2.5,72.0,998.51,2.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
31.0,65,1.5,18.0,1008.47,9.0,0,0,1,0,0,0,1,0,0,1,0,2,Cloudy
19.0,62,1.0,14.0,1016.5,5.5,0,0,0,1,1,0,0,0,1,0,0,2,Cloudy
-1.0,83,18.0,73.0,983.46,1.5,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
3.0,70,2.0,81.0,984.9,2.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
0.0,64,4.5,52.0,984.59,1.0,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
26.0,76,9.0,68.0,1004.27,3.5,0,0,1,0,0,1,0,0,0,1,0,3,Rainy
22.0,92,19.5,81.0,1017.76,4.5,0,0,1,0,0,0,0,1,1,0,0,0,Rainy
20.0,96,14.0,94.0,997.77,4.5,0,0,1,0,0,0,1,0,0,0,1,0,Rainy
23.0,52,1.0,36.0,1017.92,8.5,0,0,0,1,0,1,0,0,0,0,1,1,Cloudy
3.0,81,2.5,89.0,992.78,2.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
20.0,95,16.0,91.0,1016.14,2.5,0,0,1,0,0,0,1,0,0,0,1,0,Rainy
-2.0,91,2.5,83.0,982.21,4.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
2.0,77,6.5,75.0,998.0,3.0,0,0,0,1,0,0,0,1,0,0,1,0,Snowy
16.0,67,6.5,45.0,1008.69,5.5,0,0,0,1,0,0,1,0,1,0,0,2,Cloudy
-2.0,92,1.0,71.0,998.01,1.5,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
20.0,50,6.5,21.0,1013.93,6.0,0,0,0,1,1,0,0,0,0,1,0,4,Cloudy
0.0,64,10.5,78.0,994.62,3.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
22.0,48,6.0,15.0,1020.0,9.5,1,0,0,0,0,1,0,0,0,1,0,5,Sunny
29.0,50,5.5,13.0,1002.04,8.0,0,0,1,0,1,0,0,0,0,1,0,4,Cloudy
4.0,77,13.0,76.0,983.25,2.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
40.0,39,9.5,15.0,1029.84,8.0,1,0,0,0,1,0,0,0,1,0,0,8,Sunny
-3.0,60,8.0,94.0,981.56,3.0,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
33.0,25,4.0,3.0,1027.6,6.5,0,0,0,1,0,1,0,0,1,0,0,11,Sunny
31.0,87,11.0,54.0,995.87,3.5,0,0,0,1,0,1,0,0,0,0,1,0,Rainy
41.0,72,2.5,26.0,973.08,8.5,0,1,0,0,0,1,0,0,0,1,0,6,Rainy
33.0,77,1.0,22.0,1018.78,8.5,0,0,0,1,0,0,0,1,0,0,1,4,Cloudy
-5.0,68,0.5,96.0,992.19,1.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
-9.0,90,1.5,97.0,999.08,4.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
1.0,89,7.5,76.0,982.22,4.5,0,0,0,1,0,0,0,1,0,1,0,1,Snowy
13.0,62,14.0,13.0,1003.74,9.0,0,0,1,0,1,0,0,0,0,1,0,1,Cloudy
13.0,75,9.5,40.0,1005.39,8.0,0,0,1,0,1,0,0,0,0,1,0,2,Cloudy
15.0,105,7.5,75.0,1006.45,4.0,0,0,1,0,0,0,1,0,0,1,0,10,Cloudy
31.0,86,13.5,78.0,999.25,4.0,0,0,1,0,0,0,0,1,0,1,0,3,Rainy
26.0,60,11.5,50.0,995.67,3.5,0,0,0,1,0,0,1,0,0,1,0,3,Rainy
28.0,93,12.5,50.0,997.24,5.0,0,0,0,1,0,0,1,0,1,0,0,0,Rainy
18.0,88,15.5,88.0,997.61,3.5,0,0,1,0,0,0,0,1,0,1,0,1,Rainy
30.0,77,12.0,51.0,1007.88,3.5,0,0,0,1,0,1,0,0,0,1,0,0,Rainy
24.0,50,3.5,10.0,1017.18,6.5,0,0,1,0,0,0,1,0,0,0,1,4,Cloudy
36.0,32,6.0,2.0,1026.15,7.5,1,0,0,0,0,1,0,0,1,0,0,7,Sunny
3.0,75,10.5,73.0,980.47,3.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
35.0,49,9.0,14.0,1010.52,7.0,1,0,0,0,1,0,0,0,1,0,0,10,Sunny
26.0,43,7.0,18.0,1024.37,6.0,0,0,0,1,0,0,1,0,0,0,1,5,Sunny
16.0,59,11.5,37.0,1004.12,6.5,0,0,0,1,0,0,1,0,0,0,1,4,Cloudy
38.0,73,2.5,79.0,1034.1,13.0,0,0,1,0,1,0,0,0,0,0,1,3,Rainy
34.0,51,9.0,40.0,1009.21,6.0,0,0,1,0,0,1,0,0,1,0,0,4,Cloudy
33.0,88,19.0,98.0,998.8,3.0,0,0,1,0,1,0,0,0,0,0,1,2,Rainy
17.0,72,20.0,56.0,990.4,4.0,0,0,1,0,0,0,1,0,0,0,1,0,Rainy
30.0,58,1.0,43.0,1018.95,6.0,0,0,1,0,0,0,0,1,0,1,0,2,Cloudy
17.0,69,2.0,35.0,1009.83,8.5,0,0,1,0,0,1,0,0,1,0,0,1,Cloudy
-5.0,94,9.0,63.0,989.82,5.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
17.0,64,19.5,95.0,1016.54,5.0,0,0,1,0,0,1,0,0,1,0,0,2,Rainy
34.0,88,19.5,73.0,1018.01,4.0,0,0,1,0,0,1,0,0,0,1,0,1,Rainy
41.0,90,21.5,103.0,1002.15,4.0,0,0,1,0,0,0,0,1,1,0,0,13,Rainy
13.0,77,5.0,68.0,1021.09,8.5,0,1,0,0,1,0,0,0,0,1,0,3,Cloudy
23.0,35,3.5,12.0,1028.43,8.0,1,0,0,0,0,1,0,0,0,1,0,7,Sunny
16.0,96,19.0,57.0,1003.05,4.5,0,0,1,0,0,1,0,0,0,1,0,0,Rainy
-7.0,70,8.5,62.0,993.19,2.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
3.0,90,9.5,87.0,997.83,2.5,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
39.0,54,0.0,3.0,1024.65,9.5,1,0,0,0,1,0,0,0,0,1,0,8,Sunny
21.0,64,19.0,96.0,1006.43,4.5,0,0,0,1,0,0,0,1,1,0,0,0,Rainy
38.0,69,6.5,19.0,1011.2,8.0,1,0,0,0,0,1,0,0,1,0,0,5,Sunny
-6.0,81,19.5,66.0,995.18,1.5,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
10.0,80,16.5,99.0,1005.34,3.5,0,0,1,0,0,1,0,0,1,0,0,3,Rainy
23.0,73,14.5,32.0,1002.91,7.5,0,0,0,1,1,0,0,0,0,0,1,4,Cloudy
15.0,97,12.5,62.0,1013.38,3.0,0,0,1,0,0,0,0,1,1,0,0,2,Rainy
20.0,55,2.0,7.0,1029.67,9.0,1,0,0,0,0,1,0,0,0,1,0,9,Sunny
26.0,82,18.0,54.0,998.36,3.0,0,0,0,1,1,0,0,0,1,0,0,1,Rainy
23.0,60,19.5,62.0,1014.54,4.5,0,0,0,1,0,0,0,1,1,0,0,2,Rainy
26.0,68,4.0,39.0,1016.39,5.5,0,0,0,1,0,0,1,0,0,0,1,4,Cloudy
10.0,99,16.0,58.0,995.85,1.5,0,0,1,0,1,0,0,0,0,0,1,2,Rainy
20.0,42,4.0,13.0,1028.3,8.0,0,0,0,1,1,0,0,0,0,0,1,5,Sunny
-1.0,94,13.0,74.0,981.13,4.0,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
28.0,65,13.5,48.0,1013.19,5.5,0,0,0,1,0,0,1,0,0,0,1,4,Cloudy
-10.0,94,7.5,98.0,989.37,4.0,0,0,0,1,0,0,0,1,0,0,1,1,Snowy
41.0,57,4.0,19.0,1025.59,6.5,1,0,0,0,0,1,0,0,1,0,0,10,Sunny
34.0,78,14.5,13.0,1014.07,6.0,0,0,1,0,0,0,1,0,0,0,1,1,Cloudy
33.0,30,9.5,7.0,1019.11,5.0,0,0,0,1,0,1,0,0,1,0,0,11,Sunny
28.0,56,8.5,12.0,1013.53,7.5,0,0,0,1,0,0,0,1,1,0,0,1,Cloudy
-7.0,97,4.5,73.0,987.68,2.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
31.0,100,15.0,90.0,1019.98,5.0,1,0,0,0,0,0,1,0,1,0,0,8,Sunny
19.0,97,9.0,56.0,1015.74,2.0,0,0,1,0,0,1,0,0,0,0,1,3,Rainy
34.0,97,17.5,76.0,1016.2,2.5,0,0,1,0,0,0,1,0,1,0,0,1,Rainy
10.0,80,17.0,69.0,1012.7,1.5,0,0,1,0,0,0,1,0,1,0,0,3,Rainy
28.0,76,0.5,16.0,1018.62,7.5,0,0,0,1,0,0,1,0,0,1,0,4,Cloudy
18.0,74,0.5,39.0,1007.53,8.5,0,0,1,0,1,0,0,0,0,0,1,1,Cloudy
32.0,63,3.0,46.0,1006.96,8.5,0,0,0,1,0,0,1,0,0,1,0,1,Cloudy
-7.0,82,7.5,57.0,985.06,2.5,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
22.0,61,8.5,13.0,1009.6,6.5,0,0,0,1,0,1,0,0,0,1,0,2,Cloudy
23.0,78,15.0,60.0,991.36,4.0,0,0,1,0,1,0,0,0,0,1,0,2,Rainy
27.0,83,16.0,53.0,1003.68,2.5,0,0,1,0,0,0,1,0,1,0,0,1,Rainy
-9.0,67,13.0,92.0,981.36,2.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
-10.0,92,17.0,96.0,982.06,4.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
10.0,68,8.0,99.0,1014.01,1.5,0,0,1,0,0,1,0,0,1,0,0,3,Rainy
35.0,33,7.0,5.0,1025.51,7.5,0,0,0,1,0,0,0,1,1,0,0,5,Sunny
22.0,89,12.0,85.0,1017.54,2.0,0,0,0,1,0,0,0,1,1,0,0,11,Cloudy
2.0,86,11.5,64.0,999.36,2.5,0,0,0,1,0,0,0,1,0,0,1,1,Snowy
30.0,71,12.0,92.0,992.51,3.0,0,0,0,1,0,1,0,0,0,0,1,2,Rainy
30.0,55,5.0,31.0,1004.15,6.5,0,0,0,1,1,0,0,0,0,0,1,2,Cloudy
14.0,68,11.5,11.0,1012.85,6.5,0,0,1,0,0,0,0,1,1,0,0,2,Cloudy
19.0,91,18.5,97.0,1011.14,4.0,0,0,1,0,1,0,0,0,0,1,0,0,Rainy
34.0,71,4.0,35.0,1001.54,6.5,0,0,1,0,0,0,1,0,1,0,0,3,Cloudy
27.0,79,14.0,29.0,1008.79,7.5,0,0,0,1,0,0,1,0,0,1,0,1,Cloudy
-3.0,76,10.0,85.0,986.77,3.5,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
29.0,107,0.5,93.0,1002.18,10.0,0,0,0,1,0,1,0,0,1,0,0,8,Cloudy
27.0,54,7.0,11.0,1015.78,6.0,0,0,0,1,0,0,1,0,1,0,0,2,Cloudy
24.0,27,2.0,12.0,1015.66,6.0,0,0,0,1,0,1,0,0,0,1,0,7,Sunny
33.0,69,8.0,5.0,1026.28,9.5,1,0,0,0,1,0,0,0,0,1,0,9,Sunny
32.0,59,0.5,18.0,1016.89,7.0,0,0,0,1,0,1,0,0,0,1,0,2,Cloudy
-10.0,72,2.5,96.0,988.45,2.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
28.0,108,7.5,83.0,1018.84,4.0,0,0,0,1,0,0,1,0,0,1,0,1,Sunny
27.0,26,9.0,14.0,1018.24,7.0,0,0,0,1,0,0,0,1,0,1,0,5,Sunny
-9.0,71,9.5,83.0,996.4,3.5,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
28.0,86,9.5,52.0,1005.41,3.0,0,0,1,0,1,0,0,0,1,0,0,3,Rainy
-4.0,64,1.0,85.0,993.69,1.5,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
25.0,51,5.0,18.0,1019.65,7.0,1,0,0,0,1,0,0,0,1,0,0,7,Sunny
12.0,92,20.0,51.0,1010.65,2.0,0,0,1,0,0,1,0,0,0,0,1,3,Rainy
14.0,65,6.5,26.0,1019.03,6.5,0,0,0,1,1,0,0,0,1,0,0,1,Cloudy
2.0,71,11.0,66.0,984.83,3.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
-10.0,84,5.0,75.0,990.82,4.5,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
25.0,86,11.0,75.0,1006.57,4.0,0,0,1,0,1,0,0,0,1,0,0,0,Rainy
30.0,96,4.5,97.0,1001.66,5.5,0,0,0,1,0,0,1,0,0,0,1,1,Cloudy
12.0,89,17.5,75.0,997.65,2.0,0,0,1,0,1,0,0,0,0,1,0,2,Rainy
20.0,48,3.0,10.0,1019.81,9.5,1,0,0,0,1,0,0,0,0,1,0,10,Sunny
32.0,71,19.0,92.0,1003.24,2.5,0,0,1,0,0,0,1,0,0,0,1,3,Rainy
13.0,79,11.0,63.0,990.71,4.5,0,0,1,0,0,1,0,0,1,0,0,2,Rainy
22.0,46,5.0,1.0,1014.95,7.0,1,0,0,0,0,0,1,0,0,0,1,11,Sunny
25.0,57,3.5,0.0,1016.85,8.5,0,0,0,1,0,0,1,0,0,1,0,10,Sunny
-4.0,69,14.5,56.0,994.53,3.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
0.0,73,4.0,90.0,993.09,3.0,0,0,0,1,0,0,0,1,0,1,0,1,Snowy
41.0,33,3.5,5.0,1021.88,8.0,0,0,0,1,0,1,0,0,1,0,0,6,Sunny
35.0,50,7.0,3.0,1011.22,7.5,1,0,0,0,1,0,0,0,1,0,0,7,Sunny
23.0,63,5.0,2.0,1028.61,9.0,1,0,0,0,0,0,0,1,1,0,0,9,Sunny
34.0,31,9.5,9.0,1024.74,5.5,1,0,0,0,0,1,0,0,0,1,0,10,Sunny
28.0,97,12.0,99.0,1014.95,2.5,0,0,0,1,0,0,0,1,0,1,0,2,Rainy
33.0,63,8.5,93.0,990.33,3.0,0,0,1,0,0,0,1,0,1,0,0,2,Rainy
12.0,88,9.5,76.0,990.58,5.0,0,0,0,1,0,1,0,0,0,0,1,1,Rainy
11.0,66,13.5,39.0,1005.33,7.5,0,0,0,1,0,0,1,0,1,0,0,2,Cloudy
19.0,72,11.0,25.0,1009.68,7.5,0,0,1,0,0,1,0,0,0,0,1,4,Cloudy
18.0,87,18.0,58.0,1001.57,1.5,0,0,1,0,0,0,1,0,0,1,0,1,Rainy
15.0,98,6.0,84.0,1014.45,3.5,0,0,0,1,1,0,0,0,1,0,0,2,Rainy
13.0,76,0.0,12.0,1006.38,5.5,0,0,0,1,0,1,0,0,0,1,0,3,Cloudy
34.0,24,4.0,13.0,1020.55,8.0,1,0,0,0,0,0,1,0,1,0,0,11,Sunny
-7.0,89,1.0,63.0,993.79,4.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
-8.0,98,14.5,94.0,989.03,4.0,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
1.0,70,16.5,59.0,990.8,1.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
21.0,72,19.0,57.0,990.71,2.0,0,0,1,0,0,0,0,1,1,0,0,2,Rainy
2.0,105,10.5,109.0,990.79,3.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
21.0,46,7.5,18.0,1012.01,6.0,1,0,0,0,0,0,1,0,1,0,0,7,Sunny
-2.0,72,9.5,98.0,991.7,1.5,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
31.0,95,19.0,51.0,1013.15,2.5,0,0,1,0,0,1,0,0,0,0,1,3,Rainy
24.0,77,13.5,89.0,1019.08,4.0,0,0,0,1,0,0,1,0,0,1,0,2,Rainy
26.0,68,15.0,53.0,1014.58,2.5,0,0,0,1,0,0,0,1,0,1,0,3,Rainy
22.0,72,11.0,23.0,1015.73,5.5,0,0,1,0,0,0,0,1,0,1,0,2,Cloudy
32.0,58,6.5,4.0,1023.83,9.0,1,0,0,0,0,0,1,0,0,0,1,6,Sunny
-10.0,63,17.5,70.0,993.68,3.5,0,0,0,1,0,0,0,1,0,0,1,0,Snowy
